			Id(Bk)Syl1	Id(Bk)	MaxIOSyl1	MaxIO	NonEmpty	*B2	*F3_B5	*F3..._B5	*_B5F3	*_B5...F3
			Id(Bk)Syl1	Id(Bk)	MaxIOSyl1	MaxIO	NonEmpty	*B2	*F3_B5	*F3..._B5	*_B5F3	*_B5...F3
	ii		0	1	0	0	0	0	0	0	0	0
	II		1	1	0	0	0	2	0	0	0	0
	Ii		1	2	0	0	0	1	0	0	0	0
	i_		0	0	0	1	0	0	0	0	0	0
	_I		0	0	1	1	0	1	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_i		0	1	1	1	0	0	0	0	0	0
	I_		1	1	0	1	0	1	0	0	0	0
iE	iE		0	0	0	0	0	1	0	0	0	0
	ie		0	1	0	0	0	0	0	0	0	0
	IE		1	1	0	0	0	2	0	0	0	0
	Ie		1	2	0	0	0	1	0	0	0	0
	i_		0	0	0	1	0	0	0	0	0	0
	_E		0	0	1	1	0	1	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_e		0	1	1	1	0	0	0	0	0	0
	I_		1	1	0	1	0	1	0	0	0	0
io	io	1	0	0	0	0	0	0	0	0	0	0
	iO		0	1	0	0	0	0	0	0	0	0
	Io		1	1	0	0	0	1	0	0	0	0
	IO		1	2	0	0	0	1	0	0	1	1
	i_		0	0	0	1	0	0	0	0	0	0
	_o		0	0	1	1	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_O		0	1	1	1	0	0	0	0	0	0
	I_		1	1	0	1	0	1	0	0	0	0
ia	ia	1	0	0	0	0	0	0	0	0	0	0
	iA		0	1	0	0	0	0	0	0	0	0
	Ia		1	1	0	0	0	1	0	0	0	0
	IA		1	2	0	0	0	1	0	0	1	1
	i_		0	0	0	1	0	0	0	0	0	0
	_a		0	0	1	1	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_A		0	1	1	1	0	0	0	0	0	0
	I_		1	1	0	1	0	1	0	0	0	0
iu	iu	1	0	0	0	0	0	0	0	0	0	0
	iy		0	1	0	0	0	0	0	0	0	0
	Iu		1	1	0	0	0	1	0	0	0	0
	Iy		1	2	0	0	0	1	0	0	1	1
	i_		0	0	0	1	0	0	0	0	0	0
	_u		0	0	1	1	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_y		0	1	1	1	0	0	0	0	0	0
	I_		1	1	0	1	0	1	0	0	0	0
IO	IO		0	0	0	0	0	1	0	0	1	1
	Io		0	1	0	0	0	1	0	0	0	0
	iO		1	1	0	0	0	0	0	0	0	0
	io		1	2	0	0	0	0	0	0	0	0
	I_		0	0	0	1	0	1	0	0	0	0
	_O		0	0	1	1	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_o		0	1	1	1	0	0	0	0	0	0
	i_		1	1	0	1	0	0	0	0	0	0
IA	IA		0	0	0	0	0	1	0	0	1	1
	Ia		0	1	0	0	0	1	0	0	0	0
	iA		1	1	0	0	0	0	0	0	0	0
	ia		1	2	0	0	0	0	0	0	0	0
	I_		0	0	0	1	0	1	0	0	0	0
	_A		0	0	1	1	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_a		0	1	1	1	0	0	0	0	0	0
	i_		1	1	0	1	0	0	0	0	0	0
Iy	Iy		0	0	0	0	0	1	0	0	1	1
	Iu		0	1	0	0	0	1	0	0	0	0
	iy		1	1	0	0	0	0	0	0	0	0
	iu		1	2	0	0	0	0	0	0	0	0
	I_		0	0	0	1	0	1	0	0	0	0
	_y		0	0	1	1	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_u		0	1	1	1	0	0	0	0	0	0
	i_		1	1	0	1	0	0	0	0	0	0
Ie	Ie		0	0	0	0	0	1	0	0	0	0
	IE		0	1	0	0	0	2	0	0	0	0
	ie		1	1	0	0	0	0	0	0	0	0
	iE		1	2	0	0	0	1	0	0	0	0
	I_		0	0	0	1	0	1	0	0	0	0
	_e		0	0	1	1	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_E		0	1	1	1	0	1	0	0	0	0
	i_		1	1	0	1	0	0	0	0	0	0
Ii	Ii		0	0	0	0	0	1	0	0	0	0
	II		0	1	0	0	0	2	0	0	0	0
	ii		1	1	0	0	0	0	0	0	0	0
	iI		1	2	0	0	0	1	0	0	0	0
	I_		0	0	0	1	0	1	0	0	0	0
	_i		0	0	1	1	0	0	0	0	0	0
