			Id(Bk)Syl1	Id(Bk)	*B2	*F3_B5	*F3..._B5	*_B5F3	*_B5...F3
			Id(Bk)Syl1	Id(Bk)	*B2	*F3_B5	*F3..._B5	*_B5F3	*_B5...F3
	yOE			 1 	 1 	 1 	 1 		
	yoe			 1 		 1 	 1 		
	yoE			 2 	 1 	 1 	 2 		
	uOe		 1 	 1 				 1 	 1 
	uOE		 1 	 2 	 1 	 1 	 1 	 1 	 1 
	uoe		 1 	 2 					
	uoE		 1 	 3 	 1 				
yOi	yOi	 1 							
	yOI			 1 	 1 	 1 	 1 		
	yoi			 1 		 1 	 1 		
	yoI			 2 	 1 	 1 	 2 		
	uOi		 1 	 1 				 1 	 1 
	uOI		 1 	 2 	 1 	 1 	 1 	 1 	 1 
	uoi		 1 	 2 					
	uoI		 1 	 3 	 1 				
yAO	yAO	 1 							
	yAo			 1 		 1 	 1 		
	yaO			 1 		 1 	 1 	 1 	 1 
	yao			 2 		 1 	 2 		
	uAO		 1 	 1 				 1 	 1 
	uAo		 1 	 2 		 1 	 1 	 1 	 1 
	uaO		 1 	 2 				 1 	 2 
	uao		 1 	 3 					
yAA	yAA	 1 							
	yAa			 1 		 1 	 1 		
	yaA			 1 		 1 	 1 	 1 	 1 
	yaa			 2 		 1 	 2 		
	uAA		 1 	 1 				 1 	 1 
	uAa		 1 	 2 		 1 	 1 	 1 	 1 
	uaA		 1 	 2 				 1 	 2 
	uaa		 1 	 3 					
yAy	yAy	 1 							
	yAu			 1 		 1 	 1 		
	yay			 1 		 1 	 1 	 1 	 1 
	yau			 2 		 1 	 2 		
	uAy		 1 	 1 				 1 	 1 
	uAu		 1 	 2 		 1 	 1 	 1 	 1 
	uay		 1 	 2 				 1 	 2 
	uau		 1 	 3 					
yAe	yAe	 1 							
	yAE			 1 	 1 	 1 	 1 		
	yae			 1 		 1 	 1 		
	yaE			 2 	 1 	 1 	 2 		
	uAe		 1 	 1 				 1 	 1 
	uAE		 1 	 2 	 1 	 1 	 1 	 1 	 1 
	uae		 1 	 2 					
	uaE		 1 	 3 	 1 				
yAi	yAi	 1 							
	yAI			 1 	 1 	 1 	 1 		
	yai			 1 		 1 	 1 		
	yaI			 2 	 1 	 1 	 2 		
	uAi		 1 	 1 				 1 	 1 
	uAI		 1 	 2 	 1 	 1 	 1 	 1 	 1 
	uai		 1 	 2 					
	uaI		 1 	 3 	 1 				
yyO	yyO	 1 							
	yyo			 1 		 1 	 1 		
	yuO			 1 		 1 	 1 	 1 	 1 
	yuo			 2 		 1 	 2 		
	uyO		 1 	 1 				 1 	 1 
	uyo		 1 	 2 		 1 	 1 	 1 	 1 
	uuO		 1 	 2 				 1 	 2 
	uuo		 1 	 3 					
yyA	yyA	 1 							
	yya			 1 		 1 	 1 		
	yuA			 1 		 1 	 1 	 1 	 1 
	yua			 2 		 1 	 2 		
	uyA		 1 	 1 				 1 	 1 
	uya		 1 	 2 		 1 	 1 	 1 	 1 
	uuA		 1 	 2 				 1 	 2 
	uua		 1 	 3 					
yyy	yyy	 1 							
	yyu			 1 		 1 	 1 		
	yuy			 1 		 1 	 1 	 1 	 1 
	yuu			 2 		 1 	 2 		
	uyy		 1 	 1 				 1 	 1 
	uyu		 1 	 2 		 1 	 1 	 1 	 1 
	uuy		 1 	 2 				 1 	 2 
	uuu		 1 	 3 					
yye	yye	 1 							
	yyE			 1 	 1 	 1 	 1 		
	yue			 1 		 1 	 1 		
	yuE			 2 	 1 	 1 	 2 		
	uye		 1 	 1 				 1 	 1 
	uyE		 1 	 2 	 1 	 1 	 1 	 1 	 1 
	uue		 1 	 2 					
	uuE		 1 	 3 	 1 				
yyi	yyi	 1 							
	yyI			 1 	 1 	 1 	 1 		
	yui			 1 		 1 	 1 		
	yuI			 2 	 1 	 1 	 2 		
	uyi		 1 	 1 				 1 	 1 
	uyI		 1 	 2 	 1 	 1 	 1 	 1 	 1 
	uui		 1 	 2 					
	uuI		 1 	 3 	 1 				
yeO	yeO	 1 							
	yeo			 1 			 1 		
	yEO			 1 	 1 	 1 	 1 	 1 	 1 
	yEo			 2 	 1 	 1 	 2 		
	ueO		 1 	 1 					 1 
	ueo		 1 	 2 					
	uEO		 1 	 2 	 1 			 1 	 2 
	uEo		 1 	 3 	 1 				
yeA	yeA	 1 							
	yea			 1 			 1 		
	yEA			 1 	 1 	 1 	 1 	 1 	 1 
	yEa			 2 	 1 	 1 	 2 		
	ueA		 1 	 1 					 1 
	uea		 1 	 2 					
	uEA		 1 	 2 	 1 			 1 	 2 
	uEa		 1 	 3 	 1 				
yey	yey	 1 							
	yeu			 1 			 1 		
	yEy			 1 	 1 	 1 	 1 	 1 	 1 
	yEu			 2 	 1 	 1 	 2 		
	uey		 1 	 1 					 1 
	ueu		 1 	 2 					
	uEy		 1 	 2 	 1 			 1 	 2 
	uEu		 1 	 3 	 1 				
yee	yee	 1 							
	yeE			 1 	 1 		 1 		
	yEe			 1 	 1 	 1 	 1 		
	yEE			 2 	 2 	 1 	 2 		
	uee		 1 	 1 					
	ueE		 1 	 2 	 1 				
	uEE		 1 	 3 	 2 				
yei	yei	 1 							
	yeI			 1 	 1 		 1 		
	yEi			 1 	 1 	 1 	 1 		
