			Id(Bk)Syl1	Id(Bk)	MaxIOSyl1	MaxIO	Id(HiLoRd)Syl1	Id(HiLoRd)	*F3	*B1	*B2
			Id(Bk)Syl1	Id(Bk)	MaxIOSyl1	MaxIO	Id(HiLoRd)Syl1	Id(HiLoRd)	*F3	*B1	*B2
	oA		0	1	0	0	0	0	1	0	0
	Oa		1	1	0	0	0	0	1	0	0
	OA		1	2	0	0	0	0	2	0	0
	o_		0	0	0	1	0	0	0	0	0
	_a		0	0	1	1	0	0	0	0	0
	__		0	0	1	2	0	0	0	0	0
	_A		0	1	1	1	0	0	1	0	0
	O_		1	1	0	1	0	0	1	0	0
	oi		0	1	0	0	0	1	0	0	0
	ia		1	1	0	0	1	1	0	0	0
	ii		1	2	0	0	1	2	0	0	0
	iA		1	2	0	0	1	1	1	0	0
	Oi		1	2	0	0	0	1	1	0	0
	i_		1	1	0	1	1	1	0	0	0
	_i		0	1	1	1	0	1	0	0	0
ou	ou	1	0	0	0	0	0	0	0	0	0
	oy		0	1	0	0	0	0	1	0	0
	Ou		1	1	0	0	0	0	1	0	0
	Oy		1	2	0	0	0	0	2	0	0
	o_		0	0	0	1	0	0	0	0	0
	_u		0	0	1	1	0	0	0	0	0
	__		0	0	1	2	0	0	0	0	0
	_y		0	1	1	1	0	0	1	0	0
	O_		1	1	0	1	0	0	1	0	0
	oi		0	1	0	0	0	1	0	0	0
	iu		1	1	0	0	1	1	0	0	0
	ii		1	2	0	0	1	2	0	0	0
	iy		1	2	0	0	1	1	1	0	0
	Oi		1	2	0	0	0	1	1	0	0
	i_		1	1	0	1	1	1	0	0	0
	_i		0	1	1	1	0	1	0	0	0
ae	ae	1	0	0	0	0	0	0	0	0	0
	aE		0	1	0	0	0	0	0	0	1
	Ae		1	1	0	0	0	0	1	0	0
	AE		1	2	0	0	0	0	1	0	1
	a_		0	0	0	1	0	0	0	0	0
	_e		0	0	1	1	0	0	0	0	0
	__		0	0	1	2	0	0	0	0	0
	_E		0	1	1	1	0	0	0	0	1
	A_		1	1	0	1	0	0	1	0	0
	ai		0	0	0	0	0	1	0	0	0
	ie		1	1	0	0	1	1	0	0	0
	ii		1	1	0	0	1	2	0	0	0
	iE		1	2	0	0	1	1	0	0	1
	Ai		1	1	0	0	0	1	1	0	0
	i_		1	1	0	1	1	1	0	0	0
	_i		0	0	1	1	0	1	0	0	0
ai	ai	1	0	0	0	0	0	0	0	0	0
	aI		0	1	0	0	0	0	0	1	1
	Ai		1	1	0	0	0	0	1	0	0
	AI		1	2	0	0	0	0	1	1	1
	a_		0	0	0	1	0	0	0	0	0
	_i		0	0	1	1	0	0	0	0	0
	__		0	0	1	2	0	0	0	0	0
	_I		0	1	1	1	0	0	0	1	1
	A_		1	1	0	1	0	0	1	0	0
	ae		0	0	0	0	0	1	0	0	0
	ii		1	1	0	0	1	1	0	0	0
	ie		1	1	0	0	1	2	0	0	0
	iI		1	2	0	0	1	1	0	1	1
	Ae		1	1	0	0	0	1	1	0	0
	i_		1	1	0	1	1	1	0	0	0
	_e		0	0	1	1	0	1	0	0	0
ao	ao	1	0	0	0	0	0	0	0	0	0
