Id(Bk)Syl1	 114.896 
Id(Bk)	 94.8959999999999 
*F1	 103.37 
*F3	 101.37 
*F4	 106.244 
*F5	 100.244 
*B1	 108 
*B2	 109.126 
*B3	 103.756 
*B5	 99.756 
*F1_B1	 100 
*F1..._B1	 100 
*F1_B2	 100 
*F1..._B2	 100 
*F1_B3	 97.98 
*F1..._B3	 97.778 
*F1_B5	 91.98 
*F1..._B5	 87.978 
*F3_B1	 100 
*F3..._B1	 100 
*F3_B2	 100.004 
*F3..._B2	 100.004 
*F3_B3	 95.564 
*F3..._B3	 87.16 
*F3_B5	 79.362 
*F3..._B5	 69.16 
*F4_B1	 100 
*F4..._B1	 100 
*F4_B2	 100.046 
*F4..._B2	 100.246 
*F4_B3	 94.964 
*F4..._B3	 82.962 
*F4_B5	 80.72 
*F4..._B5	 68.742 
*F5_B1	 100 
*F5..._B1	 100 
*F5_B2	 104.246 
*F5..._B2	 104.446 
*F5_B3	 95.144 
*F5..._B3	 89.142 
*F5_B5	 70.9 
*F5..._B5	 68.922 
*_B1F1	 100 
*_B1...F1	 100 
*_B1F3	 100 
*_B1...F3	 100 
*_B1F4	 100 
*_B1...F4	 100 
*_B1F5	 100 
*_B1...F5	 100 
*_B2F1	 100.04 
*_B2...F1	 100.242 
*_B2F3	 100.04 
*_B2...F3	 100.242 
*_B2F4	 92.02 
*_B2...F4	 86.022 
*_B2F5	 86.04 
*_B2...F5	 80.002 
*_B3F1	 100.04 
*_B3...F1	 100.264 
*_B3F3	 100.04 
*_B3...F3	 100.264 
*_B3F4	 89.56 
*_B3...F4	 81.384 
*_B3F5	 83.52 
*_B3...F5	 73.324 
*_B5F1	 102.086 
*_B5...F1	 102.486 
*_B5F3	 104.086 
*_B5...F3	 104.486 
*_B5F4	 84.786 
*_B5...F4	 78.786 
*_B5F5	 72.746 
*_B5...F5	 68.726 

Input#	Input	Cand#	Cand	Freq. from input file	Learning tokens	Output of grammar test	Target proportion	Predicted proportion
 47 	iE	 3 	Ie	 0 	 0 	 0 	 0 	 0 
 48 	io	 0 	io	 1 	 1 	 829 	 1 	 0.829 
 48 	io	 1 	iO	 0 	 0 	 171 	 0 	 0.171 
 48 	io	 2 	Io	 0 	 0 	 0 	 0 	 0 
 48 	io	 3 	IO	 0 	 0 	 0 	 0 	 0 
 49 	ia	 0 	ia	 1 	 3 	 984 	 1 	 0.984 
 49 	ia	 1 	iA	 0 	 0 	 16 	 0 	 0.016 
 49 	ia	 2 	Ia	 0 	 0 	 0 	 0 	 0 
 49 	ia	 3 	IA	 0 	 0 	 0 	 0 	 0 
 50 	iu	 0 	iu	 1 	 4 	 984 	 1 	 0.984 
 50 	iu	 1 	iy	 0 	 0 	 16 	 0 	 0.016 
 50 	iu	 2 	Iu	 0 	 0 	 0 	 0 	 0 
 50 	iu	 3 	Iy	 0 	 0 	 0 	 0 	 0 
 51 	IO	 0 	IO	 0 	 0 	 97 	 0 	 0.097 
 51 	IO	 1 	Io	 0 	 0 	 874 	 0 	 0.874 
 51 	IO	 2 	iO	 0 	 0 	 4 	 0 	 0.004 
 51 	IO	 3 	io	 0 	 0 	 25 	 0 	 0.025 
 52 	IA	 0 	IA	 0 	 0 	 2 	 0 	 0.002 
 52 	IA	 1 	Ia	 0 	 0 	 969 	 0 	 0.969 
 52 	IA	 2 	iA	 0 	 0 	 0 	 0 	 0 
 52 	IA	 3 	ia	 0 	 0 	 29 	 0 	 0.029 
 53 	Iy	 0 	Iy	 0 	 0 	 2 	 0 	 0.002 
 53 	Iy	 1 	Iu	 0 	 0 	 969 	 0 	 0.969 
 53 	Iy	 2 	iy	 0 	 0 	 0 	 0 	 0 
 53 	Iy	 3 	iu	 0 	 0 	 29 	 0 	 0.029 
 54 	Ie	 0 	Ie	 0 	 0 	 832 	 0 	 0.832 
 54 	Ie	 1 	IE	 0 	 0 	 139 	 0 	 0.139 
 54 	Ie	 2 	ie	 0 	 0 	 28 	 0 	 0.028 
 54 	Ie	 3 	iE	 0 	 0 	 1 	 0 	 0.001 
 55 	Ii	 0 	Ii	 0 	 0 	 971 	 0 	 0.971 
 55 	Ii	 1 	II	 0 	 0 	 0 	 0 	 0 
 55 	Ii	 2 	ii	 0 	 0 	 29 	 0 	 0.029 
 55 	Ii	 3 	iI	 0 	 0 	 0 	 0 	 0 
 56 	II	 0 	II	 0 	 0 	 0 	 0 	 0 
 56 	II	 1 	Ii	 0 	 0 	 971 	 0 	 0.971 
 56 	II	 2 	iI	 0 	 0 	 0 	 0 	 0 
 56 	II	 3 	ii	 0 	 0 	 29 	 0 	 0.029 
 57 	IE	 0 	IE	 0 	 0 	 139 	 0 	 0.139 
 57 	IE	 1 	Ie	 0 	 0 	 832 	 0 	 0.832 
 57 	IE	 2 	iE	 0 	 0 	 1 	 0 	 0.001 
 57 	IE	 3 	ie	 0 	 0 	 28 	 0 	 0.028 
 58 	Io	 0 	Io	 0 	 0 	 874 	 0 	 0.874 
 58 	Io	 1 	IO	 0 	 0 	 97 	 0 	 0.097 
 58 	Io	 2 	io	 0 	 0 	 25 	 0 	 0.025 
 58 	Io	 3 	iO	 0 	 0 	 4 	 0 	 0.004 
 59 	Ia	 0 	Ia	 0 	 0 	 969 	 0 	 0.969 
 59 	Ia	 1 	IA	 0 	 0 	 2 	 0 	 0.002 
 59 	Ia	 2 	ia	 0 	 0 	 29 	 0 	 0.029 
 59 	Ia	 3 	iA	 0 	 0 	 0 	 0 	 0 
 60 	Iu	 0 	Iu	 0 	 0 	 969 	 0 	 0.969 
 60 	Iu	 1 	Iy	 0 	 0 	 2 	 0 	 0.002 
 60 	Iu	 2 	iu	 0 	 0 	 29 	 0 	 0.029 
 60 	Iu	 3 	iy	 0 	 0 	 0 	 0 	 0 
 61 	EO	 0 	EO	 0 	 0 	 97 	 0 	 0.097 
 61 	EO	 1 	Eo	 0 	 0 	 880 	 0 	 0.88 
 61 	EO	 2 	eO	 0 	 0 	 3 	 0 	 0.003 
 61 	EO	 3 	eo	 0 	 0 	 20 	 0 	 0.02 
 62 	EA	 0 	EA	 0 	 0 	 3 	 0 	 0.003 
 62 	EA	 1 	Ea	 0 	 0 	 974 	 0 	 0.974 
 62 	EA	 2 	eA	 0 	 0 	 0 	 0 	 0 
 62 	EA	 3 	ea	 0 	 0 	 23 	 0 	 0.023 
 63 	Ey	 0 	Ey	 0 	 0 	 3 	 0 	 0.003 
 63 	Ey	 1 	Eu	 0 	 0 	 974 	 0 	 0.974 
 63 	Ey	 2 	ey	 0 	 0 	 0 	 0 	 0 
 63 	Ey	 3 	eu	 0 	 0 	 23 	 0 	 0.023 
