trial num	generated	heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
	a priori	Id(Bk)Syl1>>Id(Bk)	0.6000000000000014	61.439102564102555																																																																																																																																																		
94	uoo	yOO	0.8	62.23910256410255	0.8	42.23910256410255	-1	96.95714285714287	-1	90.62380952380956	-1	94.20457875457878	-1	88.77124542124545					0.8	94.81428571428572	0.8	96.46785714285714																																																																																																																																
95	OAO	oao	0.2857142857142857	62.52481684981684	0.2857142857142857	42.52481684981684	0.2857142857142857	97.24285714285716	0.2857142857142857	90.90952380952385	0.2857142857142857	94.49029304029307	0.2857142857142857	89.05695970695974					-1	93.81428571428572	-1	95.46785714285714																																																																																																																																
96	OyA	oua	0.2857142857142857	62.81053113553112	0.2857142857142857	42.81053113553112	0.2857142857142857	97.52857142857145	0.2857142857142857	91.19523809523814	0.2857142857142857	94.77600732600736	0.2857142857142857	89.34267399267404					-1	92.81428571428572	-1	94.46785714285714																																																																																																																																
100	Eui	eyi	0.3	63.11053113553112	0.3	43.11053113553112			-1	90.19523809523814	-1	93.77600732600736	-1	88.34267399267404			0.3	94.51428571428573	0.3	93.11428571428571	0.3	94.76785714285714																																																																																															0.3	94.3															0.3	92.3													0.3	91.60357142857143	0.3	91.60357142857143
101	eAi	Eai	1.1666666666666667	64.27719780219779	1.1666666666666667	44.27719780219778			1.1666666666666667	91.36190476190481	1.1666666666666667	94.94267399267403	1.1666666666666667	89.50934065934071			-1	93.51428571428573	-1	92.11428571428571	-1	93.76785714285714																																																																																															-1	93.3															-1	91.3													-1	90.60357142857143	-1	90.60357142857143
102	Eoi	eOi	0.36363636363636365	64.64083416583415	0.36363636363636365	44.64083416583415	-1	96.52857142857145	-1	90.36190476190481	-1	93.94267399267403	-1	88.50934065934071			0.36363636363636365	93.8779220779221	0.36363636363636365	92.47792207792207	0.36363636363636365	94.1314935064935																																																																																															0.36363636363636365	93.66363636363636													0.36363636363636365	93.36363636363636	0.36363636363636365	91.66363636363636													0.36363636363636365	90.96720779220779	0.36363636363636365	90.96720779220779
108	iiy	Iiu	2.3333333333333335	66.97416749916748	2.3333333333333335	46.974167499167486			2.3333333333333335	92.69523809523814	2.3333333333333335	96.27600732600736	2.3333333333333335	90.84267399267404	-1	98.8809523809524	-1	92.8779220779221	-1	91.47792207792207	-1	93.1314935064935																																																													-1	93.20100732600733	-1	93.20100732600733													-1	99	-1	97													-1	95	-1	92.66363636363636													-1	92.36363636363636	-1	90.66363636363636													-1	89.96720779220779	-1	89.96720779220779
109	yAi	uai	0.5	67.47416749916748	0.5	47.474167499167486			0.5	93.19523809523814	0.5	96.77600732600736	0.5	91.34267399267404							-1	92.1314935064935																																																																																																																													-1	88.96720779220779	-1	88.96720779220779
111	uia	yiA	0.375	67.84916749916748	0.375	47.849167499167486			-1	92.19523809523814	-1	95.77600732600736	-1	90.34267399267404							0.375	92.5064935064935																																																													0.375	93.57600732600733	0.375	93.57600732600733																																																													0.375	89.34220779220779	0.375	89.34220779220779
