			Id(Bk)Syl1	Id(Bk)	*B2	*F3_B5	*F3..._B5	*_B5F3	*_B5...F3
			Id(Bk)Syl1	Id(Bk)	*B2	*F3_B5	*F3..._B5	*_B5F3	*_B5...F3
	AoI		 0 	 2 	 1 	 1 	 2 	 0 	 0 
	aOi		 1 	 1 	 0 	 0 	 0 	 1 	 1 
	aOI		 1 	 2 	 1 	 1 	 1 	 1 	 1 
	aoi		 1 	 2 	 0 	 0 	 0 	 0 	 0 
	aoI		 1 	 3 	 1 	 0 	 0 	 0 	 0 
AAO	AAO	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	AAo		 0 	 1 	 0 	 1 	 1 	 0 	 0 
	AaO		 0 	 1 	 0 	 1 	 1 	 1 	 1 
	Aao		 0 	 2 	 0 	 1 	 2 	 0 	 0 
	aAO		 1 	 1 	 0 	 0 	 0 	 1 	 1 
	aAo		 1 	 2 	 0 	 1 	 1 	 1 	 1 
	aaO		 1 	 2 	 0 	 0 	 0 	 1 	 2 
	aao		 1 	 3 	 0 	 0 	 0 	 0 	 0 
AAA	AAA	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	AAa		 0 	 1 	 0 	 1 	 1 	 0 	 0 
	AaA		 0 	 1 	 0 	 1 	 1 	 1 	 1 
	Aaa		 0 	 2 	 0 	 1 	 2 	 0 	 0 
	aAA		 1 	 1 	 0 	 0 	 0 	 1 	 1 
	aAa		 1 	 2 	 0 	 1 	 1 	 1 	 1 
	aaA		 1 	 2 	 0 	 0 	 0 	 1 	 2 
	aaa		 1 	 3 	 0 	 0 	 0 	 0 	 0 
AAy	AAy	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	AAu		 0 	 1 	 0 	 1 	 1 	 0 	 0 
	Aay		 0 	 1 	 0 	 1 	 1 	 1 	 1 
	Aau		 0 	 2 	 0 	 1 	 2 	 0 	 0 
	aAy		 1 	 1 	 0 	 0 	 0 	 1 	 1 
	aAu		 1 	 2 	 0 	 1 	 1 	 1 	 1 
	aay		 1 	 2 	 0 	 0 	 0 	 1 	 2 
	aau		 1 	 3 	 0 	 0 	 0 	 0 	 0 
AAe	AAe	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	AAE		 0 	 1 	 1 	 1 	 1 	 0 	 0 
	Aae		 0 	 1 	 0 	 1 	 1 	 0 	 0 
	AaE		 0 	 2 	 1 	 1 	 2 	 0 	 0 
	aAe		 1 	 1 	 0 	 0 	 0 	 1 	 1 
	aAE		 1 	 2 	 1 	 1 	 1 	 1 	 1 
	aae		 1 	 2 	 0 	 0 	 0 	 0 	 0 
	aaE		 1 	 3 	 1 	 0 	 0 	 0 	 0 
AAi	AAi	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	AAI		 0 	 1 	 1 	 1 	 1 	 0 	 0 
	Aai		 0 	 1 	 0 	 1 	 1 	 0 	 0 
	AaI		 0 	 2 	 1 	 1 	 2 	 0 	 0 
	aAi		 1 	 1 	 0 	 0 	 0 	 1 	 1 
	aAI		 1 	 2 	 1 	 1 	 1 	 1 	 1 
	aai		 1 	 2 	 0 	 0 	 0 	 0 	 0 
	aaI		 1 	 3 	 1 	 0 	 0 	 0 	 0 
AyO	AyO	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
