			Id(Bk)Syl1	Id(Bk)	MaxIO(Fr)Syl1	MaxIO(Fr)	MaxIO(Bk)Syl1	MaxIO(Bk)	NonEmpty	Id(HiLoRd)Syl1	Id(HiLoRd)	*F1	*B1	*F4_B5	*F4..._B5	*F3_B2	*F3..._B2	*_B5F4	*_B5...F4
			Id(Bk)Syl1	Id(Bk)	MaxIO(Fr)Syl1	MaxIO(Fr)	MaxIO(Bk)Syl1	MaxIO(Bk)	NonEmpty	Id(HiLoRd)Syl1	Id(HiLoRd)	*F1	*B1	*F4_B5	*F4..._B5	*F3_B2	*F3..._B2	*_B5F4	*_B5...F4
	i_		0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
	_i		0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
Ae	Ae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	AE		0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0
	ae		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
	aE		1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	A_		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	_e		0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	__		0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0
	_E		0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	a_		1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	Ai		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	ie		0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	ii		0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
	iE		0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	eE		0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0
	ai		1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	i_		0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
	_i		0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
Ai	Ai	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
